VM,Powerstate,Template,SRM Placeholder,Disk,Disk Key,Disk UUID,Disk Path,Capacity MiB,Raw,Disk Mode,Sharing mode,Thin,Eagerly Scrub,Split,Write Through,Level,Shares,Reservation,Limit,Controller,Label,SCSI Unit #,Unit #,Shared Bus,Path,Raw LUN ID,Raw Comp. Mode,Internal Sort Column,Annotation,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
VM-IGSHI493,suspended,False,True,Hard disk 1,2000,81e5f2fe-ffa2-4331-8753-7984c620468b,[datastore-2-compute-a] VM-IGSHI493/VM-IGSHI493_0.vmdk,105351,False,persistent,nobussharing,True,False,False,False,720,563,915,426,NVMe controller 0,DiskLabel_0,0,0,No Sharing,[datastore-2-compute-a] VM-IGSHI493/VM-IGSHI493_0.vmdk,,,,AI Generated VM: sDCpooaVkN,DC-Gamma,Compute-A_Gamma,esx02.compute-a-gamma.example.local,/DC-Alpha/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-4324,14eb4b55-8537-4769-81ed-77c746c7e9a0,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-IGSHI493,suspended,False,True,Hard disk 2,2001,f1eadcd8-064f-4bf1-9024-a9c896a8d39b,[datastore-2-compute-a] VM-IGSHI493/VM-IGSHI493_1.vmdk,176934,True,independent_persistent,nobussharing,False,False,True,False,905,487,91,853,SCSI controller 0,DiskLabel_1,1,1,No Sharing,[datastore-2-compute-a] VM-IGSHI493/VM-IGSHI493_1.vmdk,,,,AI Generated VM: sDCpooaVkN,DC-Gamma,Compute-A_Gamma,esx02.compute-a-gamma.example.local,/DC-Alpha/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-4324,14eb4b55-8537-4769-81ed-77c746c7e9a0,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-IGSHI493,suspended,False,True,Hard disk 3,2002,6468df54-903d-4d82-b64f-d235a1f4898d,[datastore-2-compute-a] VM-IGSHI493/VM-IGSHI493_2.vmdk,44415,True,independent_persistent,nobussharing,False,True,False,False,264,337,131,89,NVMe controller 0,DiskLabel_2,2,2,No Sharing,[datastore-2-compute-a] VM-IGSHI493/VM-IGSHI493_2.vmdk,,,,AI Generated VM: sDCpooaVkN,DC-Gamma,Compute-A_Gamma,esx02.compute-a-gamma.example.local,/DC-Alpha/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-4324,14eb4b55-8537-4769-81ed-77c746c7e9a0,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-CAZO073,poweredOn,False,True,Hard disk 1,2000,3f18084f-147d-4a26-b061-730754cd8560,[datastore-4-mgmt-x] VM-CAZO073/VM-CAZO073_0.vmdk,27451,True,independent_persistent,nobussharing,False,True,False,True,829,661,579,623,SCSI controller 0,DiskLabel_0,0,0,No Sharing,[datastore-4-mgmt-x] VM-CAZO073/VM-CAZO073_0.vmdk,,,,AI Generated VM: 4KIhYQ0JeC,DC-Delta,Mgmt-X_Delta,esx01.mgmt-x-delta.example.local,/DC-Gamma/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-8632,0ba783b7-e4bc-4dcd-8551-02e1a505222d,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-CAZO073,poweredOn,False,True,Hard disk 2,2001,b82ad030-6907-4ea0-9ec9-12f83d5c07d3,[datastore-4-mgmt-x] VM-CAZO073/VM-CAZO073_1.vmdk,156504,False,persistent,nobussharing,False,True,True,False,272,322,570,275,NVMe controller 0,DiskLabel_1,1,1,No Sharing,[datastore-4-mgmt-x] VM-CAZO073/VM-CAZO073_1.vmdk,,,,AI Generated VM: 4KIhYQ0JeC,DC-Delta,Mgmt-X_Delta,esx01.mgmt-x-delta.example.local,/DC-Gamma/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-8632,0ba783b7-e4bc-4dcd-8551-02e1a505222d,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-CAZO073,poweredOn,False,True,Hard disk 3,2002,3b08f0fb-ff1d-4f8a-8f39-7b4aecfe1e95,[datastore-4-mgmt-x] VM-CAZO073/VM-CAZO073_2.vmdk,77578,True,persistent,nobussharing,True,False,False,True,464,682,321,440,NVMe controller 0,DiskLabel_2,2,2,No Sharing,[datastore-4-mgmt-x] VM-CAZO073/VM-CAZO073_2.vmdk,,,,AI Generated VM: 4KIhYQ0JeC,DC-Delta,Mgmt-X_Delta,esx01.mgmt-x-delta.example.local,/DC-Gamma/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-8632,0ba783b7-e4bc-4dcd-8551-02e1a505222d,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-UYJAP15,poweredOff,True,True,Hard disk 1,2000,3f27ffa2-b1f0-455d-9210-4c3547ee7a7c,[datastore-4-compute-b] VM-UYJAP15/VM-UYJAP15_0.vmdk,86736,False,persistent,nobussharing,False,False,False,False,773,761,982,283,NVMe controller 0,DiskLabel_0,0,0,No Sharing,[datastore-4-compute-b] VM-UYJAP15/VM-UYJAP15_0.vmdk,,,,AI Generated VM: ROOslfubBq,DC-Beta,Compute-B_Beta,esx01.compute-b-beta.example.local,/DC-Beta/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-7931,abefda53-123b-4f53-9445-e58c475895bb,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-HMFVX91,poweredOff,False,True,Hard disk 1,2000,915f760b-45e1-48c3-b140-905297b4a553,[datastore-3-compute-a] VM-HMFVX91/VM-HMFVX91_0.vmdk,74176,False,independent_persistent,nobussharing,True,True,True,True,445,438,426,126,NVMe controller 0,DiskLabel_0,0,0,No Sharing,[datastore-3-compute-a] VM-HMFVX91/VM-HMFVX91_0.vmdk,,,,AI Generated VM: qTtAY1oi1G,DC-Gamma,Compute-A_Gamma,esx03.compute-a-gamma.example.local,/DC-Gamma/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-5139,ab396f25-2146-4040-896e-9e3f9d21250b,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-HMFVX91,poweredOff,False,True,Hard disk 2,2001,4353837d-252e-4f21-8b97-33120bb56f02,[datastore-3-compute-a] VM-HMFVX91/VM-HMFVX91_1.vmdk,194885,False,persistent,nobussharing,False,False,True,False,24,581,523,840,SCSI controller 0,DiskLabel_1,1,1,No Sharing,[datastore-3-compute-a] VM-HMFVX91/VM-HMFVX91_1.vmdk,,,,AI Generated VM: qTtAY1oi1G,DC-Gamma,Compute-A_Gamma,esx03.compute-a-gamma.example.local,/DC-Gamma/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-5139,ab396f25-2146-4040-896e-9e3f9d21250b,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
VM-HMFVX91,poweredOff,False,True,Hard disk 3,2002,eb520771-4906-420e-93f5-5d87cb503aa3,[datastore-3-compute-a] VM-HMFVX91/VM-HMFVX91_2.vmdk,177016,False,persistent,nobussharing,True,False,False,True,1000,293,900,300,SCSI controller 0,DiskLabel_2,2,2,No Sharing,[datastore-3-compute-a] VM-HMFVX91/VM-HMFVX91_2.vmdk,,,,AI Generated VM: qTtAY1oi1G,DC-Gamma,Compute-A_Gamma,esx03.compute-a-gamma.example.local,/DC-Gamma/vm/Discovered virtual machine,ubuntuLinux64Guest,Ubuntu Linux (64-bit),vm-5139,ab396f25-2146-4040-896e-9e3f9d21250b,181.21.137.36,b6f240f2-d0a2-41bd-ac10-29f6ec2a6aa6
